Date,Apple,AAG,Amazon,Facebook,Google,Intel,Microsoft,NDM
2019-01-24,152.6999969482422,65.77999877929689,1654.9300537109375,145.8300018310547,1084.0,49.7599983215332,106.1999969482422,0.7099999785423279
2019-01-25,157.75999450683594,63.47999954223633,1670.5699462890625,149.00999450683594,1101.510009765625,47.040000915527344,107.16999816894531,0.7099999785423279
2019-01-28,156.3000030517578,64.52999877929689,1637.8900146484375,147.47000122070312,1079.8599853515623,46.709999084472656,105.08000183105469,0.75
2019-01-29,154.67999267578125,64.55999755859375,1593.8800048828125,144.19000244140625,1070.06005859375,46.540000915527344,102.94000244140624,0.75
2019-01-30,165.25,64.66000366210939,1670.4300537109375,150.4199981689453,1097.989990234375,47.540000915527344,106.37999725341795,0.7699999809265137
2019-01-31,166.44000244140625,63.95000076293945,1718.72998046875,166.69000244140625,1125.8900146484377,47.11999893188477,104.43000030517578,0.7799999713897705
2019-02-01,166.52000427246094,64.36000061035156,1626.22998046875,165.7100067138672,1118.6199951171877,48.72999954223633,102.77999877929688,0.7900000214576721
2019-02-04,171.25,64.48000335693361,1633.31005859375,169.25,1141.4200439453125,49.22000122070313,105.73999786376952,0.8399999737739563
2019-02-05,174.17999267578125,64.73999786376953,1658.81005859375,171.16000366210938,1151.8699951171875,50.0099983215332,107.22000122070312,0.8899999856948853
2019-02-06,174.24000549316406,64.81999969482422,1640.260009765625,170.49000549316406,1122.8900146484377,49.9000015258789,106.02999877929688,1.0499999523162842
2019-02-07,170.94000244140625,65.23000335693361,1614.3699951171875,166.3800048828125,1105.9100341796877,49.22999954223633,105.2699966430664,1.0199999809265137
2019-02-08,170.41000366210938,65.26999664306639,1588.219970703125,167.3300018310547,1102.3800048828123,48.84000015258789,105.66999816894531,0.959999978542328
2019-02-11,169.42999267578125,66.30000305175781,1591.0,165.7899932861328,1102.1199951171877,48.77000045776367,105.25,1.0199999809265137
2019-02-12,170.88999938964844,66.69000244140625,1638.010009765625,165.0399932861328,1127.5799560546875,50.0099983215332,106.88999938964844,0.959999978542328
2019-02-13,170.17999267578125,66.69999694824219,1640.0,164.07000732421875,1128.6300048828125,50.47000122070313,106.80999755859376,0.959999978542328
2019-02-14,170.8000030517578,66.56999969482422,1622.6500244140625,163.9499969482422,1129.199951171875,50.81000137329102,106.9000015258789,0.9700000286102296
2019-02-15,170.4199981689453,66.31999969482422,1607.949951171875,162.5,1119.6300048828123,51.65999984741211,108.22000122070312,0.9499999880790709
2019-02-19,170.92999267578125,64.55999755859375,1627.5799560546875,162.2899932861328,1126.510009765625,51.4000015258789,108.16999816894531,0.8799999952316284
2019-02-20,172.02999877929688,63.34000015258789,1622.0999755859375,162.55999755859375,1120.5899658203123,51.38999938964844,107.1500015258789,1.0
2019-02-21,171.05999755859375,62.86000061035156,1619.43994140625,160.0399932861328,1104.2099609375,51.40999984741211,109.41000366210938,0.9300000071525574
2019-02-22,172.97000122070312,62.4000015258789,1631.56005859375,161.88999938964844,1116.56005859375,52.4900016784668,110.97000122070312,0.959999978542328
2019-02-25,174.22999572753906,62.75,1633.0,164.6199951171875,1117.3299560546877,53.099998474121094,111.58999633789062,0.9700000286102296
2019-02-26,174.3300018310547,62.93999862670898,1636.4000244140625,164.1300048828125,1122.010009765625,53.22999954223633,112.36000061035156,1.0
2019-02-27,174.8699951171875,61.97999954223633,1641.0899658203125,162.80999755859375,1122.8900146484377,53.2400016784668,112.16999816894531,0.9800000190734864
2019-02-28,173.14999389648438,61.70000076293945,1639.8299560546875,161.4499969482422,1126.550048828125,52.959999084472656,112.02999877929688,0.9200000166893004
2019-03-01,174.97000122070312,61.31000137329102,1671.72998046875,162.27999877929688,1148.52001953125,53.29999923706055,112.52999877929688,0.8999999761581421
2019-03-04,175.85000610351562,59.5,1696.1700439453125,167.3699951171875,1153.4200439453125,53.93999862670898,112.26000213623048,0.8899999856948853
2019-03-05,175.52999877929688,57.77999877929688,1692.4300537109375,171.25999450683594,1169.18994140625,53.68000030517578,111.6999969482422,0.8500000238418579
2019-03-06,174.52000427246094,55.83000183105469,1668.949951171875,172.50999450683594,1164.93994140625,52.95000076293945,111.75,0.8199999928474426
2019-03-07,172.5,55.95000076293945,1625.949951171875,169.1300048828125,1150.8499755859375,52.599998474121094,110.38999938964844,0.7599999904632568
2019-03-08,172.91000366210938,55.61999893188477,1620.800048828125,169.60000610351562,1149.969970703125,52.47999954223633,110.51000213623048,0.7599999904632568
2019-03-11,178.89999389648438,55.41999816894531,1670.6199951171875,172.07000732421875,1179.260009765625,53.349998474121094,112.83000183105469,0.75
2019-03-12,180.91000366210938,54.09000015258789,1673.0999755859375,171.9199981689453,1197.25,53.56999969482422,113.62000274658205,0.7400000095367432
2019-03-13,181.7100067138672,56.02999877929688,1690.81005859375,173.3699951171875,1199.06005859375,54.36999893188477,114.5,0.7099999785423279
2019-03-14,183.72999572753903,55.4900016784668,1686.219970703125,170.1699981689453,1192.530029296875,53.43999862670898,114.58999633789062,0.6600000262260437
2019-03-15,186.1199951171875,55.7599983215332,1712.3599853515625,165.97999572753906,1190.300048828125,54.33000183105469,115.91000366210938,0.6600000262260437
2019-03-18,188.0200042724609,55.81000137329102,1742.1500244140625,160.47000122070312,1188.550048828125,54.099998474121094,117.56999969482422,0.6800000071525574
2019-03-19,186.52999877929688,56.11000061035156,1761.8499755859375,161.57000732421875,1202.4599609375,54.16999816894531,117.6500015258789,0.6800000071525574
2019-03-20,188.16000366210938,55.18999862670898,1797.27001953125,165.44000244140625,1226.4300537109375,53.81999969482422,117.5199966430664,0.6800000071525574
